FireDeckHeight,HTC,ValveGuideRaduis,CoolantRadius,InletRadius,OutletRadius,NP_FD,NP_VG,Mass,Fatigue
3.979265042,5.892848263,5.749265042,7.349265042,21.31926504,16.36926504,619738.615,4464634.166,5.216363449,96.8877292
4.274145365,7.906842198,5.534145365,11.25414537,20.59414537,16.45414537,894285.5231,3816267.552,5.469842803,95.42091608
9.527627891,1.102334644,10.65762789,14.78762789,27.10762789,21.96762789,839374.9745,3608059.717,10.73870893,101.9246451
3.367058428,5.909639808,5.607058428,10.17705843,20.96705843,14.75705843,896963.0736,5761331.628,4.292410183,95.41018233
9.625769681,6.780295501,10.89576968,14.41576968,26.38576968,21.10576968,894668.6568,4254489.756,10.61035258,100.452744
4.855266869,5.970814575,6.675266869,13.45526687,20.78526687,16.79526687,965581.112,5351636.621,5.759857544,95.65234097
10.42039377,6.102083058,11.65039377,19.63039377,26.53039377,22.01039377,1060526.516,4225398.784,11.31765692,100.6734933
7.808940162,7.569700246,9.878940162,17.67894016,24.89894016,19.08894016,1050452.896,5492218.819,8.668059413,99.40507157
3.440415952,0.040157541,5.460415952,9.150415952,20.30041595,15.16041595,989418.2787,5312986.368,4.396135921,95.11722877
9.933652432,4.517804665,11.36365243,17.82365243,26.32365243,21.13365243,913905.0508,4804285.613,10.86017324,100.9716732
6.18311188,2.950151917,7.83311188,9.71311188,23.19311188,18.33311188,759039.4552,4117471.546,7.17538783,98.63854656
2.209669914,1.575505833,3.659669914,8.629669914,19.43966991,14.26966991,798840.7937,4581092.572,3.156473693,93.80121082
10.77546893,8.629701445,12.65546893,18.44546893,26.98546893,22.31546893,931896.8522,5391776.433,11.70044298,100.9258287
10.73958854,7.410258573,11.59958854,13.71958854,27.31958854,22.39958854,891642.4556,3453651.261,11.75443128,103.2096516
6.765426258,6.315384992,7.525426258,12.69542626,23.19542626,19.00542626,919132.868,3593390.6,7.73655481,98.36456767
10.05893586,6.251994678,11.73893586,19.79893586,27.42893586,21.17893586,835566.8627,5061248.287,10.92651054,101.5883903
3.601037966,4.862125904,4.561037966,8.111037966,19.47103797,15.40103797,805813.9236,3505811.102,4.599667802,95.38525486
3.775784404,8.29338461,4.895784404,7.585784404,21.4957844,15.7357844,770655.2411,3609052.093,4.766228746,96.28354748
4.698473847,5.228248678,7.218473847,9.048473847,22.84847385,18.01847385,454434.9901,3796369.931,7.153040945,98.37878433
2.274151266,3.100491388,5.134151266,8.474151266,20.15415127,15.48415127,439382.7443,4145291.3,4.693026974,95.13404401
5.873214561,9.506510488,9.313214561,17.14321456,23.12321456,18.70321456,667286.5422,5657704.139,8.184957759,98.29525458
4.828694011,6.794541028,7.848694011,15.07869401,23.24869401,17.92869401,577287.4601,4458703.253,7.163026823,97.36798895
8.551012205,7.709318574,12.21101221,14.15101221,26.26101221,21.50101221,543360.9944,5118904.974,10.9675035,101.3318233
9.488247328,1.108075213,11.76824733,18.71824733,27.77824733,22.72824733,520903.7087,3351679.803,11.85548463,101.4422329
6.511617137,8.429538624,9.591617137,11.54161714,25.55161714,19.27161714,634422.4677,4129827.533,8.93349534,100.6387767
1.248692551,7.948466411,4.448692551,9.108692551,19.69869255,14.88869255,614252.077,4404033.23,3.628057882,94.17905447
5.184038205,8.473196978,7.824038205,15.4740382,24.1540382,18.8840382,636308.789,3926752.399,7.514951205,97.95761126
5.042516565,5.862095014,8.292516565,16.02251657,22.43251657,18.05251657,660974.0014,5105667.764,7.363719436,97.28128326
-0.091099278,8.813371784,3.468900722,6.258900722,19.13890072,13.44890072,448047.2564,4711371.797,2.301196252,93.47756357
8.531682896,8.875233734,11.3416829,16.0016829,26.1616829,21.2416829,536390.1976,4102282.755,10.93380292,101.3434737
0.820524784,4.421917007,3.490524784,9.190524784,18.78052478,14.23052478,657086.2412,4118829.113,3.202622584,94.22424859
0.575266674,7.382821532,2.995266674,10.32526667,19.40526667,14.02526667,642169.3459,3367712.922,2.923964134,93.74215039
7.830503708,8.94846513,11.34050371,14.84050371,26.54050371,20.49050371,613686.9797,4834669.743,10.22058089,101.673795
9.026783505,8.573662412,12.86678351,17.16678351,27.14678351,22.87678351,530494.7224,5679401.167,11.64355732,101.9571807
5.594440758,7.053768118,9.584440758,16.42444076,24.38444076,18.97444076,460826.6792,5641452.965,8.146416933,98.9357815
2.720737437,9.702666559,6.380737437,11.46073744,21.41073744,16.50073744,450496.9556,4855123.884,5.323966881,96.42782255
0.975279249,3.790469468,5.125279249,10.73527925,20.16527925,14.53527925,247303.8851,5163812.651,3.797286248,94.8551135
8.376930294,6.493662129,12.34693029,18.73693029,26.46693029,22.34693029,343449.6736,5318100.152,11.19674574,101.135882
8.177097457,5.437127136,11.78709746,14.49709746,25.93709746,21.57709746,246982.5375,4102306.422,11.0797557,101.8105263
2.995858051,7.188878287,6.875858051,14.50585805,21.77585805,16.75585805,264300.7326,4976909.168,5.784803343,95.44360765
6.700433322,5.853499467,9.960433322,15.01043332,26.16043332,19.91043332,274347.106,3686708.158,9.563836762,100.6745526
9.047318664,9.041932691,13.26731866,14.12731866,28.35731866,23.07731866,226512.6649,5409843.017,11.93974322,103.5978108
7.004186177,4.604926426,10.75418618,14.15418618,26.65418618,20.90418618,288464.7039,4495655.249,9.875411091,101.0930175
0.542395578,6.750315203,3.712395578,8.542395578,18.78239558,14.39239558,413734.8139,3842165.691,3.420353332,93.31113591
3.132102885,5.37039905,6.002102885,12.36210289,21.73210289,16.54210289,244074.998,3393989.322,5.989433491,96.32781767
8.355015214,2.928099406,12.03501521,15.69501521,26.34501521,21.93501521,216122.1091,4605211.386,11.23968292,101.4931306
7.329727891,5.810935602,10.72972789,18.44972789,25.73972789,21.45972789,449563.7223,3851923.881,10.13750364,99.53927227
5.732696296,7.097950102,8.542696296,11.6426963,24.7726963,19.9126963,354558.0819,3203147.77,8.637674152,99.8819075
0.730791163,1.72368506,3.800791163,12.58079116,19.65079116,14.42079116,435783.0513,3888613.962,3.522214557,93.34360081
5.857700348,4.101749961,9.447700348,15.93770035,25.36770035,19.57770035,391147.1422,4134730.28,8.930112465,99.98665689
7.699308686,6.320771525,11.39930869,17.36930869,26.99930869,21.15930869,332145.714,4228928.436,10.78130678,101.8208342
3.624550708,3.103161641,7.574550708,11.33455071,22.59455071,17.02455071,239603.3604,4370754.714,6.740911238,98.31091087
2.645619117,1.103632621,5.785619117,12.13561912,21.12561912,16.91561912,327116.5318,3509236.792,5.742341827,96.49666843
8.302981462,8.165244884,11.38298146,20.38298146,27.96298146,21.93298146,180533.2103,3204114.718,11.33384702,102.129016
2.70888843,9.239300501,6.49888843,14.64888843,22.54888843,16.69888843,222882.9501,4165049.964,5.731253509,96.46746947
3.201248775,8.471114939,7.331248775,9.781248775,21.48124877,17.66124877,211858.7081,4627337.025,6.333181864,97.76334165
1.917474547,2.702233094,5.777474547,7.747474547,21.86747455,16.13747455,292161.1209,3770275.776,5.048650043,96.76555813
6.028022113,8.96461048,10.47802211,13.31802211,24.14802211,19.86802211,184076.9111,5419407.897,9.147898422,100.2043661
4.571324557,9.066565198,8.001324557,13.17132456,23.50132456,18.67132456,273354.5923,3885458.092,7.678508829,98.64630768
2.067355397,9.131858786,5.307355397,7.497355397,20.2473554,16.2473554,185014.0808,3413919.729,5.226096141,96.73091638
6.795876981,0.143101406,10.14587698,17.49587698,25.33587698,20.31587698,269728.3665,4020771.444,9.866434209,99.83076706
